Time,FRET,Enzyme,RNA,DNA
0.0,1.0,2e-06,1.0000000000000001e-07,5.000000000000001e-07
186.235,0.9493553362446258,2e-06,1.0000000000000001e-07,5.000000000000001e-07
345.086,0.9656081574910479,2e-06,1.0000000000000001e-07,5.000000000000001e-07
503.937,0.9215303892621628,2e-06,1.0000000000000001e-07,5.000000000000001e-07
662.7879999999999,0.9371136101671277,2e-06,1.0000000000000001e-07,5.000000000000001e-07
821.639,0.8668077953494427,2e-06,1.0000000000000001e-07,5.000000000000001e-07
980.49,0.8343917934181538,2e-06,1.0000000000000001e-07,5.000000000000001e-07
1139.341,0.7519820998966299,2e-06,1.0000000000000001e-07,5.000000000000001e-07
1298.1920000000002,0.658019166514536,2e-06,1.0000000000000001e-07,5.000000000000001e-07
1457.043,0.5649076412408539,2e-06,1.0000000000000001e-07,5.000000000000001e-07
1615.894,0.45354394270228354,2e-06,1.0000000000000001e-07,5.000000000000001e-07
1774.745,0.41823190453554293,2e-06,1.0000000000000001e-07,5.000000000000001e-07
1933.596,0.3332909225033146,2e-06,1.0000000000000001e-07,5.000000000000001e-07
2092.447,0.2681913845008825,2e-06,1.0000000000000001e-07,5.000000000000001e-07
2251.298,0.2346129742051769,2e-06,1.0000000000000001e-07,5.000000000000001e-07
2410.149,0.16366483759229608,2e-06,1.0000000000000001e-07,5.000000000000001e-07
0.0,1.0,3e-06,1.0000000000000001e-07,5.000000000000001e-07
186.235,0.9083762274828052,3e-06,1.0000000000000001e-07,5.000000000000001e-07
345.086,0.9296905841696067,3e-06,1.0000000000000001e-07,5.000000000000001e-07
503.937,0.870931391074467,3e-06,1.0000000000000001e-07,5.000000000000001e-07
662.7879999999999,0.8231394221496724,3e-06,1.0000000000000001e-07,5.000000000000001e-07
821.639,0.7117351790399683,3e-06,1.0000000000000001e-07,5.000000000000001e-07
980.49,0.6037517199209751,3e-06,1.0000000000000001e-07,5.000000000000001e-07
1139.341,0.5134867198635025,3e-06,1.0000000000000001e-07,5.000000000000001e-07
1298.1920000000002,0.3299115813455465,3e-06,1.0000000000000001e-07,5.000000000000001e-07
1457.043,0.22509447207776445,3e-06,1.0000000000000001e-07,5.000000000000001e-07
1615.894,0.15941504170290954,3e-06,1.0000000000000001e-07,5.000000000000001e-07
1774.745,0.12457886949058977,3e-06,1.0000000000000001e-07,5.000000000000001e-07
1933.596,0.09310923830939159,3e-06,1.0000000000000001e-07,5.000000000000001e-07
2092.447,0.08696146801990674,3e-06,1.0000000000000001e-07,5.000000000000001e-07
2251.298,0.07431190363573713,3e-06,1.0000000000000001e-07,5.000000000000001e-07
2410.149,0.054239160338104477,3e-06,1.0000000000000001e-07,5.000000000000001e-07
0.0,1.0,5e-06,1.0000000000000001e-07,5.000000000000001e-07
186.235,0.9003351659246145,5e-06,1.0000000000000001e-07,5.000000000000001e-07
345.086,0.8673443809155311,5e-06,1.0000000000000001e-07,5.000000000000001e-07
503.937,0.6943576501678896,5e-06,1.0000000000000001e-07,5.000000000000001e-07
662.7879999999999,0.4879138988840762,5e-06,1.0000000000000001e-07,5.000000000000001e-07
821.639,0.24205288500120442,5e-06,1.0000000000000001e-07,5.000000000000001e-07
980.49,0.13653720250457574,5e-06,1.0000000000000001e-07,5.000000000000001e-07
1139.341,0.07190314066862939,5e-06,1.0000000000000001e-07,5.000000000000001e-07
1298.1920000000002,0.05536422912568979,5e-06,1.0000000000000001e-07,5.000000000000001e-07
1457.043,0.00895143969393955,5e-06,1.0000000000000001e-07,5.000000000000001e-07
1615.894,0.010786092936323988,5e-06,1.0000000000000001e-07,5.000000000000001e-07
1774.745,0.0015168489681737785,5e-06,1.0000000000000001e-07,5.000000000000001e-07
1933.596,-0.0047762160157710995,5e-06,1.0000000000000001e-07,5.000000000000001e-07
2092.447,-0.021143428459593328,5e-06,1.0000000000000001e-07,5.000000000000001e-07
2251.298,-0.027119580169052415,5e-06,1.0000000000000001e-07,5.000000000000001e-07
2410.149,-0.026363640234746265,5e-06,1.0000000000000001e-07,5.000000000000001e-07
